player_id,player_name,season,competition_id,competition_name,country_name,age,position,sub_position,nationality,foot,height_in_cm,current_club_id,current_club_name,games_played,season_minutes,minutes_per_game,minutes_volatility,market_value_in_eur,highest_market_value_in_eur
746695,Kamaldeen Sulemana,2022-2023,GB1,premier-league,England,21,Attack,Left Winger,Ghana,right,175,180,Southampton FC,18,967.0,53.72222222222222,27.29022119440416,18000000,22000000
508780,Altin Zeqiri,2023-2024,TR1,super-lig,Turkey,24,Attack,Left Winger,Kosovo,right,185,126,Çaykur Rizespor Kulübü,35,2288.0,65.37142857142857,22.674196428395636,1800000,1800000
138812,Ibrahima Conté,2012-2013,BE1,jupiler-pro-league,Belgium,22,Midfield,Attacking Midfield,Guinea,left,174,2861,KV Oostende,21,1180.0,56.19047619047619,33.07224278198238,150000,3000000
139337,Tiago Rodrigues,2014-2015,PO1,liga-portugal-bwin,Portugal,23,Midfield,Attacking Midfield,Portugal,right,177,28095,FK Ufa,18,1377.0,76.5,15.283433296656002,250000,3000000
795738,Paxten Aaronson,2023-2024,NL1,eredivisie,Netherlands,21,Midfield,Attacking Midfield,United States,right,175,200,Football Club Utrecht,14,1254.0,89.57142857142857,1.5452362609131376,4500000,4500000
58515,Vitaliy Balashov,2014-2015,UKR1,premier-liga,Ukraine,24,Attack,Left Winger,Ukraine,both,177,41201,PFK Tambov (-2021),15,1004.0,66.93333333333334,26.103554462094916,175000,600000
177843,Domenico Berardi,2013-2014,IT1,serie-a,Italy,20,Attack,Right Winger,Italy,left,183,6574,Unione Sportiva Sassuolo Calcio,29,2185.0,75.34482758620689,22.8598064101209,10000000,35000000
146164,Max Meyer,2016-2017,L1,bundesliga,Germany,22,Midfield,Attacking Midfield,Germany,right,173,36,Fenerbahçe Spor Kulübü,27,1668.0,61.77777777777778,32.111303344291954,3000000,20000000
142920,Aleksandar Trajkovski,2013-2014,BE1,jupiler-pro-league,Belgium,22,Attack,Left Winger,North Macedonia,right,179,1053,Aalborg BK,18,929.0,51.611111111111114,34.65566955201941,450000,2000000
355761,Giannis Bouzoukis,2019-2020,GR1,super-league-1,Greece,22,Midfield,Attacking Midfield,Greece,left,172,6418,Panetolikos Agrinio,23,1539.0,66.91304347826087,27.37805062371373,300000,1500000
74861,David Wotherspoon,2013-2014,SC1,scottish-premiership,Scotland,24,Midfield,Attacking Midfield,Canada,left,172,2578,St. Johnstone FC,38,2876.0,75.6842105263158,19.190328242657596,300000,1250000
497221,Andriy Remenyuk,2022-2023,UKR1,premier-liga,Ukraine,24,Attack,Left Winger,Ukraine,right,170,55686,TOV FK Metalist 1925 Kharkiv,29,2010.0,69.3103448275862,24.27017958570709,250000,600000
618425,Tanguy Coulibaly,2020-2021,L1,bundesliga,Germany,20,Attack,Right Winger,France,left,179,969,Montpellier HSC,31,1508.0,48.645161290322584,29.709940106015328,2000000,5000000
232271,Sofiane Boufal,2016-2017,GB1,premier-league,England,24,Midfield,Attacking Midfield,Morocco,right,175,3948,Royale Union Saint-Gilloise,24,1101.0,45.875,24.725682498163724,7000000,15000000
68290,Neymar,2013-2014,ES1,laliga,Spain,22,Attack,Left Winger,Brazil,right,175,583,Paris Saint-Germain Football Club,26,1736.0,66.76923076923077,28.385136538888815,50000000,180000000
337066,Toni Villa,2018-2019,ES1,laliga,Spain,24,Attack,Left Winger,Spain,right,172,12321,Girona Fútbol Club S. A. D.,26,1774.0,68.23076923076923,25.665462714148763,1500000,6000000
227039,Younes Namli,2017-2018,NL1,eredivisie,Netherlands,24,Attack,Right Winger,Denmark,left,180,1269,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,32,2808.0,87.75,5.728219618694802,1600000,3000000
63158,Vladislav Ryzhkov,2014-2015,RU1,premier-liga,Russia,25,Midfield,Attacking Midfield,Russia,right,174,3729,Arsenal Tula,26,1550.0,59.61538461538461,18.553616531300104,75000,850000
189441,Lucas Ocampos,2013-2014,FR1,ligue-1,France,20,Attack,Left Winger,Argentina,both,187,368,Sevilla Fútbol Club S.A.D.,34,1349.0,39.6764705882353,30.822757623925423,9000000,50000000
335725,Shapi Suleymanov,2021-2022,TR1,super-lig,Turkey,23,Attack,Right Winger,Russia,left,171,605,Aris Thessalonikis,31,2014.0,64.96774193548387,23.906381751522577,2000000,12000000
51972,Robbie Kruse,2012-2013,L1,bundesliga,Germany,25,Attack,Left Winger,Australia,right,179,15,Bayer 04 Leverkusen Fußball,30,2560.0,85.33333333333333,13.374935098492585,200000,2750000
213672,Tom Rogic,2016-2017,SC1,scottish-premiership,Scotland,25,Midfield,Attacking Midfield,Australia,right,188,371,The Celtic Football Club,22,1272.0,57.81818181818182,27.30240809165569,800000,3000000
747243,Gyan de Regt,2023-2024,NL1,eredivisie,Netherlands,21,Attack,Left Winger,Netherlands,,176,499,Vitesse Arnhem,26,1182.0,45.46153846153846,29.607991085088408,400000,400000
540302,Mateo Klimowicz,2020-2021,L1,bundesliga,Germany,21,Midfield,Attacking Midfield,Germany,right,179,79,Verein für Bewegungsspiele Stuttgart 1893,25,1195.0,47.8,26.449952740978574,1800000,5000000
184440,Tayfur Bingöl,2017-2018,TR1,super-lig,Turkey,25,Attack,Left Winger,Türkiye,right,180,7160,Eyüp Spor Kulübü,25,1204.0,48.16,30.095421578705288,700000,2100000
618813,Carlos Martín,2024-2025,ES1,laliga,Spain,23,Attack,Left Winger,Spain,right,184,13,Club Atlético de Madrid S.A.D.,25,1290.0,51.6,26.563132345414385,1000000,1000000
80444,Philippe Coutinho,2015-2016,EL,europa-league,,24,Midfield,Attacking Midfield,Brazil,right,172,405,Aston Villa Football Club,13,959.0,73.76923076923077,22.894923341057495,7500000,150000000
104414,Raphael Holzhauser,2012-2013,L1,bundesliga,Germany,20,Midfield,Attacking Midfield,Austria,left,193,2727,Oud-Heverlee Leuven,21,1150.0,54.76190476190476,28.845903830534652,300000,4200000
248483,Chris Ikonomidis,2016-2017,DK1,superligaen,Denmark,22,Attack,Left Winger,Australia,right,180,398,Società Sportiva Lazio S.p.A.,16,956.0,59.75,25.740289431162193,450000,1250000
